,id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age
0,3366,Female,2:35:39,Manila,2024,3:18:41,1:02:21,,30-34
1,1631,Male,1:54:33,Manila,2024,2:43:02,1:03:58,,35-39
2,1458,Male,1:52:05,Manila,2024,2:48:42,1:16:20,,45-49
3,14745,Male,2:18:23,Baguio,2024,2:51:32,1:20:02,,18-24
4,15106,Male,1:39:50,Cebu,2024,2:11:04,1:25:21,,25-29
5,1007,Male,1:43:23,Manila,2024,3:10:38,1:47:57,,45-49
6,0,Male,50:06,Manila,2024,1:13:52,1:51:46,,30-34
7,2,Male,53:28,Manila,2024,1:14:08,1:54:15,2:54:25,25-29
8,3649,Male,52:36,Manila,2025,1:10:28,1:54:35,,25-29
9,14939,Male,52:22,Cebu,2024,1:17:43,2:01:40,,25-29
10,3387,Male,2:36:27,Manila,2024,2:10:14,2:06:21,,40-44
11,8483,Male,1:04:39,Cagayan de Oro,2024,1:22:17,2:10:18,,20-24
12,3654,Male,1:01:31,Manila,2025,1:23:56,2:11:48,,40-44
13,14956,Male,1:11:29,Cebu,2024,1:34:18,2:15:57,,30-34
14,13822,Male,1:19:33,Iloilo-Bacolod,2024,1:30:54,2:16:56,4:01:12,18-24
15,4,Male,1:02:44,Manila,2024,1:24:36,2:17:02,,25-29
16,6881,Female,2:13:24,Manila,2025,2:47:08,2:18:38,,40-44
17,8487,Male,1:09:37,Cagayan de Oro,2024,1:29:36,2:21:24,,30-34
18,3662,Female,1:07:27,Manila,2025,1:30:20,2:21:29,,35-39
19,14,Male,1:07:38,Manila,2024,1:36:10,2:21:43,3:21:09,45-49
20,8484,Male,1:04:48,Cagayan de Oro,2024,1:28:59,2:22:02,,30-34
21,9,Male,1:04:40,Manila,2024,1:29:17,2:22:06,3:12:46,40-44
22,10,Male,1:05:28,Manila,2024,1:28:43,2:23:22,3:15:21,25-29
23,8759,Male,1:57:18,Cagayan de Oro,2024,2:22:37,2:23:45,,30-34
24,14947,Female,1:05:16,Cebu,2024,1:28:37,2:24:07,,25-29
25,3656,Male,1:04:21,Manila,2025,1:29:24,2:24:24,,35-39
26,2883,Female,2:09:42,Manila,2024,3:14:50,2:24:29,,35-39
27,14135,Male,2:11:46,Iloilo-Bacolod,2024,1:56:29,2:24:45,6:17:11,25-29
28,98,Male,1:19:15,Manila,2024,1:37:27,2:25:26,,18-24
29,3668,Male,1:09:10,Manila,2025,1:29:35,2:26:18,,35-39
30,13809,Male,1:11:42,Iloilo-Bacolod,2024,1:28:12,2:27:10,,35-39
31,6814,Male,2:13:26,Manila,2025,3:02:24,2:27:24,,25-29
32,3669,Male,1:09:00,Manila,2025,1:33:58,2:28:20,,35-39
33,3670,Female,1:09:34,Manila,2025,1:51:26,2:28:34,,45-49
34,13814,Male,1:14:33,Iloilo-Bacolod,2024,1:29:47,2:29:03,,25-29
35,13808,Male,1:09:38,Iloilo-Bacolod,2024,1:30:17,2:29:42,,35-39
36,36,Female,1:11:36,Manila,2024,1:38:00,2:30:23,,25-29
37,14292,Male,1:13:01,Baguio,2024,1:34:15,2:31:14,3:16:26,45-49
38,14293,Male,1:13:50,Baguio,2024,1:38:09,2:31:38,3:26:48,35-39
39,14287,Male,1:08:46,Baguio,2024,1:31:42,2:31:39,,30-34
40,33,Female,1:11:32,Manila,2024,1:35:13,2:32:32,3:37:06,40-44
41,15587,Male,1:14:04,Davao,2024,1:36:28,2:32:40,,30-34
42,13810,Male,1:12:22,Iloilo-Bacolod,2024,1:51:00,2:32:57,,45-49
43,21,Male,1:09:51,Manila,2024,1:35:42,2:33:44,3:31:07,40-44
44,15597,Male,1:18:10,Davao,2024,1:38:26,2:34:10,3:51:17,45-49
45,13818,Male,1:18:08,Iloilo-Bacolod,2024,1:36:19,2:34:17,,40-44
46,3659,Male,1:06:00,Manila,2025,1:55:45,2:34:22,,40-44
47,15606,Male,1:21:29,Davao,2024,1:42:16,2:34:24,,20-24
48,30,Male,1:11:11,Manila,2024,1:37:11,2:34:31,3:31:40,50-54
49,39,Male,1:12:04,Manila,2024,1:37:21,2:34:48,,40-44
50,176,Male,1:24:54,Manila,2024,1:42:33,2:35:04,,18-24
51,3683,Male,1:12:52,Manila,2025,1:36:54,2:35:09,,45-49
52,3894,Male,1:16:38,Manila,2025,1:38:43,2:35:13,,35-39
53,6108,Male,1:52:31,Manila,2025,1:38:20,2:35:27,,35-39
54,5547,Female,1:55:04,Manila,2025,2:38:28,2:35:45,,40-44
55,53,Male,1:13:50,Manila,2024,1:41:08,2:36:09,4:24:43,30-34
56,63,Male,1:16:27,Manila,2024,1:42:16,2:37:09,7:47:40,35-39
57,8533,Male,1:24:51,Cagayan de Oro,2024,1:36:41,2:37:21,3:54:28,30-34
58,3705,Male,1:15:38,Manila,2025,1:38:18,2:38:25,,30-34
59,14962,Male,1:14:59,Cebu,2024,1:42:19,2:38:36,,45-49
60,8498,Male,1:16:41,Cagayan de Oro,2024,1:36:10,2:38:56,,25-29
61,3666,Male,1:08:46,Manila,2025,1:30:36,2:38:59,,40-44
62,3706,Male,1:14:14,Manila,2025,1:50:39,2:39:18,,30-34
