id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k
3366,1,9339.0,0,2024,11921.0,3741.0,,2.0,583.6875,564.9763033175356,116.90625,18.711196682464447,448.07005331753555
1631,0,6873.0,0,2024,9782.0,3838.0,,3.0,429.5625,463.6018957345971,119.9375,-34.03939573459712,343.6643957345971
1458,0,6725.0,0,2024,10122.0,4580.0,,5.0,420.3125,479.7156398104265,143.125,-59.403139810426524,336.5906398104265
14745,0,8303.0,3,2024,10292.0,4802.0,,0.0,518.9375,487.7725118483412,150.0625,31.164988151658804,337.7100118483412
15106,0,5990.0,4,2024,7864.0,5121.0,,1.0,374.375,372.70142180094786,160.03125,1.6735781990521446,212.67017180094786
1007,0,6203.0,0,2024,11438.0,6477.0,,5.0,387.6875,542.085308056872,202.40625,-154.397808056872,339.679058056872
0,0,3006.0,0,2024,4432.0,6706.0,,2.0,187.875,210.0473933649289,209.5625,-22.172393364928894,0.4848933649288938
2,0,3208.0,0,2024,4448.0,6855.0,10465.0,1.0,200.5,210.80568720379145,214.21875,-10.30568720379145,-3.41306279620855
3649,0,3156.0,0,2025,4228.0,6875.0,,1.0,197.25,200.37914691943126,214.84375,-3.129146919431264,-14.464603080568736
14939,0,3142.0,4,2024,4663.0,7300.0,,1.0,196.375,220.99526066350708,228.125,-24.620260663507082,-7.129739336492918
3387,0,9387.0,0,2024,7814.0,7581.0,,4.0,586.6875,370.33175355450237,236.90625,216.35574644549763,133.42550355450237
8483,0,3879.0,1,2024,4937.0,7818.0,,,242.4375,233.9810426540284,244.3125,8.456457345971586,-10.331457345971586
3654,0,3691.0,0,2025,5036.0,7908.0,,4.0,230.6875,238.67298578199052,247.125,-7.985485781990519,-8.45201421800948
14956,0,4289.0,4,2024,5658.0,8157.0,,2.0,268.0625,268.1516587677725,254.90625,-0.08915876777251697,13.245408767772517
13822,0,4773.0,2,2024,5454.0,8216.0,14472.0,0.0,298.3125,258.4834123222749,256.75,39.82908767772511,1.7334123222748872
4,0,3764.0,0,2024,5076.0,8222.0,,1.0,235.25,240.5687203791469,256.9375,-5.318720379146896,-16.368779620853104
6881,1,8004.0,0,2025,10028.0,8318.0,,4.0,500.25,475.260663507109,259.9375,24.989336492891027,215.32316350710897
8487,0,4177.0,1,2024,5376.0,8484.0,,2.0,261.0625,254.7867298578199,265.125,6.275770142180107,-10.338270142180107
3662,1,4047.0,0,2025,5420.0,8489.0,,3.0,252.9375,256.87203791469193,265.28125,-3.93453791469193,-8.40921208530807
14,0,4058.0,0,2024,5770.0,8503.0,12069.0,5.0,253.625,273.4597156398104,265.71875,-19.834715639810383,7.740965639810383
8484,0,3888.0,1,2024,5339.0,8522.0,,2.0,243.0,253.03317535545023,266.3125,-10.033175355450226,-13.279324644549774
9,0,3880.0,0,2024,5357.0,8526.0,11566.0,4.0,242.5,253.8862559241706,266.4375,-11.386255924170598,-12.551244075829402
10,0,3928.0,0,2024,5323.0,8602.0,11721.0,1.0,245.5,252.27488151658767,268.8125,-6.774881516587669,-16.53761848341233
8759,0,7038.0,1,2024,8557.0,8625.0,,2.0,439.875,405.54502369668245,269.53125,34.32997630331755,136.01377369668245
14947,1,3916.0,4,2024,5317.0,8647.0,,1.0,244.75,251.9905213270142,270.21875,-7.240521327014193,-18.228228672985807
3656,0,3861.0,0,2025,5364.0,8664.0,,3.0,241.3125,254.21800947867297,270.75,-12.905509478672968,-16.53199052132703
2883,1,7782.0,0,2024,11690.0,8669.0,,3.0,486.375,554.0284360189573,270.90625,-67.65343601895734,283.12218601895734
14135,0,7906.0,2,2024,6989.0,8685.0,22631.0,1.0,494.125,331.23222748815164,271.40625,162.89277251184836,59.825977488151636
98,0,4755.0,0,2024,5847.0,8726.0,,0.0,297.1875,277.10900473933646,272.6875,20.078495260663544,4.421504739336456
3668,0,4150.0,0,2025,5375.0,8778.0,,3.0,259.375,254.73933649289097,274.3125,4.6356635071090295,-19.57316350710903
13809,0,4302.0,2,2024,5292.0,8830.0,,3.0,268.875,250.80568720379145,275.9375,18.06931279620855,-25.13181279620855
6814,0,8006.0,0,2025,10944.0,8844.0,,1.0,500.375,518.6729857819905,276.375,-18.29798578199052,242.29798578199052
3669,0,4140.0,0,2025,5638.0,8900.0,,3.0,258.75,267.2037914691943,278.125,-8.4537914691943,-10.9212085308057
3670,1,4174.0,0,2025,6686.0,8914.0,,5.0,260.875,316.87203791469193,278.5625,-55.99703791469193,38.30953791469193
13814,0,4473.0,2,2024,5387.0,8943.0,,1.0,279.5625,255.3080568720379,279.46875,24.254443127962105,-24.160693127962105
13808,0,4178.0,2,2024,5417.0,8982.0,,3.0,261.125,256.7298578199052,280.6875,4.395142180094808,-23.95764218009481
36,1,4296.0,0,2024,5880.0,9023.0,,1.0,268.5,278.6729857819905,281.96875,-10.17298578199052,-3.295764218009481
14292,0,4381.0,3,2024,5655.0,9074.0,11786.0,5.0,273.8125,268.0094786729858,283.5625,5.803021327014221,-15.553021327014221
14293,0,4430.0,3,2024,5889.0,9098.0,12408.0,3.0,276.875,279.0995260663507,284.3125,-2.224526066350677,-5.212973933649323
14287,0,4126.0,3,2024,5502.0,9099.0,,2.0,257.875,260.7582938388625,284.34375,-2.883293838862528,-23.585456161137472
33,1,4292.0,0,2024,5713.0,9152.0,13026.0,4.0,268.25,270.7582938388625,286.0,-2.508293838862528,-15.241706161137472
15587,0,4444.0,5,2024,5788.0,9160.0,,2.0,277.75,274.3127962085308,286.25,3.4372037914691873,-11.937203791469187
13810,0,4342.0,2,2024,6660.0,9177.0,,5.0,271.375,315.63981042654024,286.78125,-44.26481042654024,28.858560426540237
21,0,4191.0,0,2024,5742.0,9224.0,12667.0,4.0,261.9375,272.1327014218009,288.25,-10.195201421800903,-16.117298578199097
15597,0,4690.0,5,2024,5906.0,9250.0,13877.0,5.0,293.125,279.90521327014216,289.0625,13.219786729857844,-9.157286729857844
13818,0,4688.0,2,2024,5779.0,9257.0,,4.0,293.0,273.8862559241706,289.28125,19.113744075829402,-15.394994075829402
3659,0,3960.0,0,2025,6945.0,9262.0,,4.0,247.5,329.14691943127957,289.4375,-81.64691943127957,39.70941943127957
15606,0,4889.0,5,2024,6136.0,9264.0,,,305.5625,290.8056872037914,289.5,14.756812796208578,1.3056872037914218
30,0,4271.0,0,2024,5831.0,9271.0,12700.0,6.0,266.9375,276.3507109004739,289.71875,-9.413210900473928,-13.368039099526072
39,0,4324.0,0,2024,5841.0,9288.0,,4.0,270.25,276.82464454976304,290.25,-6.574644549763036,-13.425355450236964
176,0,5094.0,0,2024,6153.0,9304.0,,0.0,318.375,291.6113744075829,290.75,26.7636255924171,0.8613744075829004
3683,0,4372.0,0,2025,5814.0,9309.0,,5.0,273.25,275.54502369668245,290.90625,-2.295023696682449,-15.361226303317551
3894,0,4598.0,0,2025,5923.0,9313.0,,3.0,287.375,280.71090047393363,291.03125,6.664099526066366,-10.320349526066366
6108,0,6751.0,0,2025,5900.0,9327.0,,3.0,421.9375,279.6208530805687,291.46875,142.31664691943132,-11.84789691943132
5547,1,6904.0,0,2025,9508.0,9345.0,,4.0,431.5,450.6161137440758,292.03125,-19.11611374407579,158.5848637440758
53,0,4430.0,0,2024,6068.0,9369.0,15883.0,2.0,276.875,287.58293838862556,292.78125,-10.707938388625564,-5.198311611374436
63,0,4587.0,0,2024,6136.0,9429.0,28060.0,3.0,286.6875,290.8056872037914,294.65625,-4.118187203791422,-3.850562796208578
8533,0,5091.0,1,2024,5801.0,9441.0,14068.0,2.0,318.1875,274.9289099526066,295.03125,43.2585900473934,-20.102340047393398
3705,0,4538.0,0,2025,5898.0,9505.0,,2.0,283.625,279.5260663507109,297.03125,4.098933649289108,-17.50518364928911
14962,0,4499.0,4,2024,6139.0,9516.0,,5.0,281.1875,290.94786729857816,297.375,-9.76036729857816,-6.42713270142184
8498,0,4601.0,1,2024,5770.0,9536.0,,1.0,287.5625,273.4597156398104,298.0,14.102784360189617,-24.540284360189617
3666,0,4126.0,0,2025,5436.0,9539.0,,4.0,257.875,257.63033175355446,298.09375,0.24466824644554208,-40.46341824644554
3706,0,4454.0,0,2025,6639.0,9558.0,,2.0,278.375,314.6445497630331,298.6875,-36.269549763033126,15.957049763033126
15901,0,6811.0,5,2024,8904.0,9561.0,,,425.6875,421.99052132701416,298.78125,3.6969786729858356,123.20927132701416
45,0,4422.0,0,2024,5964.0,9578.0,13495.0,2.0,276.375,282.65402843601896,299.3125,-6.279028436018962,-16.65847156398104
3688,0,4427.0,0,2025,8230.0,9588.0,,4.0,276.6875,390.0473933649289,299.625,-113.3598933649289,90.4223933649289
6327,0,7006.0,0,2025,7083.0,9590.0,,5.0,437.875,335.6872037914692,299.6875,102.18779620853081,35.99970379146919
3686,0,4414.0,0,2025,6103.0,9595.0,,3.0,275.875,289.2417061611374,299.84375,-13.366706161137415,-10.602043838862585
3687,0,4417.0,0,2025,6107.0,9598.0,,3.0,276.0625,289.43127962085305,299.9375,-13.368779620853047,-10.506220379146953
3665,0,4100.0,0,2025,5797.0,9613.0,,1.0,256.25,274.73933649289097,300.40625,-18.48933649289097,-25.66691350710903
15599,0,4727.0,5,2024,7002.0,9613.0,,1.0,295.4375,331.8483412322275,300.40625,-36.41084123222748,31.442091232227483
69,0,4478.0,0,2024,5952.0,9617.0,14059.0,1.0,279.875,282.085308056872,300.53125,-2.210308056872009,-18.44594194312799
3679,0,4322.0,0,2025,5968.0,9619.0,,8.0,270.125,282.8436018957346,300.59375,-12.718601895734594,-17.750148104265406
62,0,4573.0,0,2024,5985.0,9628.0,13831.0,5.0,285.8125,283.6492890995261,300.875,2.1632109004739277,-17.225710900473928
61,0,4566.0,0,2024,6578.0,9645.0,,1.0,285.375,311.75355450236964,301.40625,-26.37855450236964,10.347304502369639
27,0,4241.0,0,2024,5656.0,9654.0,,2.0,265.0625,268.0568720379147,301.6875,-2.9943720379146725,-33.63062796208533
38,0,4315.0,0,2024,6509.0,9670.0,15388.0,5.0,269.6875,308.4834123222749,302.1875,-38.79591232227489,6.295912322274887
3678,0,4323.0,0,2025,5901.0,9681.0,,1.0,270.1875,279.66824644549763,302.53125,-9.48074644549763,-22.86300355450237
13842,0,5133.0,2,2024,6268.0,9699.0,16165.0,2.0,320.8125,297.06161137440756,303.09375,23.750888625592438,-6.032138625592438
75,0,4666.0,0,2024,6223.0,9706.0,,2.0,291.625,294.9289099526066,303.3125,-3.3039099526066025,-8.383590047393398
